name,placeId,_id,type,address,location
Dao Son Tay Primary School,311aa6969b89797ac028b182e12590ed33ef3051,ObjectId(5db3f8e77b3f3c14f84e4766),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","61 Đường Hiệp Bình, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8461379"",""lng"":""106.7214217""}"
Hiep Binh Phuoc Primary School,68c386ecb47009c5a21944700ebc5db1fd79fc4c,ObjectId(5db3f8e77b3f3c14f84e4767),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","630 QL13, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8526304"",""lng"":""106.7212226""}"
Hiep Binh Phuoc Primary School,68c386ecb47009c5a21944700ebc5db1fd79fc4c,ObjectId(5db3f8e77b3f3c14f84e4768),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","630 QL13, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8526304"",""lng"":""106.7212226""}"
Primary School From Germany,0a4588327553583befa459783e6489ef7b71f5af,ObjectId(5db3f8e77b3f3c14f84e4769),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","6, Đoàn Kết, P.Bình Thọ, Q.Thủ Đức, 06 Đoàn Kết, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8454793"",""lng"":""106.7678498""}"
Primary School From Germany,0a4588327553583befa459783e6489ef7b71f5af,ObjectId(5db3f8e77b3f3c14f84e476a),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","6, Đoàn Kết, P.Bình Thọ, Q.Thủ Đức, 06 Đoàn Kết, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8454793"",""lng"":""106.7678498""}"
Trường tiểu học Đặng Văn Bất,29501f742bd4a5a5fe6bfe97410ff6c71b0bf18a,ObjectId(5db3f8f193686a0efca2f5b4),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","30 Đường 35, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8561718"",""lng"":""106.7479619""}"
Trường tiểu học Đặng Văn Bất,29501f742bd4a5a5fe6bfe97410ff6c71b0bf18a,ObjectId(5db3f8f193686a0efca2f5b5),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","30 Đường 35, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8561718"",""lng"":""106.7479619""}"
Linh Dong Primary School,1c44e4839778a2125e7656e2071a0bed5f51b5e1,ObjectId(5db3f8f193686a0efca2f5b6),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","170 Tô Ngọc Vân, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8554029"",""lng"":""106.7509701""}"
Linh Dong Primary School,1c44e4839778a2125e7656e2071a0bed5f51b5e1,ObjectId(5db3f8f193686a0efca2f5b7),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","170 Tô Ngọc Vân, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8554029"",""lng"":""106.7509701""}"
Trường tiểu học Trương Văn Hải,ad84cd6980b915c6fe57c769719675b0215c9a1a,ObjectId(5db3f8f193686a0efca2f5b8),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","76 Phú Châu, Tam Phú, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8660617"",""lng"":""106.7477345""}"
